title,description,author,contact,email_contact,update_date,url,data_type,access
Department of Agriculture Congressional Logs for Fiscal Year 2014,This dataset is Congressional Correspondence from the Office of the Executive Secretariat for the Department of Agriculture.,Department of Agriculture,Alexi Graves,mailto:Alexis.Graves@ocio.usda.gov,2014-10-03,http://www.dm.usda.gov/foia/docs/Copy%20of%20ECM%20Congressional%20Logs%20FY14.xls,application/vnd.ms-excel,public
Department of Agriculture Enterprise Data Inventory,The USDA EDI with  non-public assets. This file contains the metadata for the USDA's EDI as defined by the Project Open Data.,Department of Agriculture,Brian Brotsos,mailto:brian.brotsos@usda.gov,2015-02-28,http://www.usda.gov/data-edi.json,application/json,public
Department of Agriculture Secretary's Calendar Schedule,This dataset is a listing of the Secretary of Agriculture's public schedule.,Department of Agriculture,Alexi Graves,mailto:Alexis.Graves@ocio.usda.gov,2014-10-03,http://www.usda.gov/wps/portal/usda/usdahome?contentidonly=true&contentid=secretary-schedule.xml,application/vnd.ms-excel,public
Realized Cost Savings and Avoidance,"The OMB Office of the Chief Information Officer (OFCIO) has a long-standing practice of making information about Federal IT available to the public through various tools and reports to Congress. Consistent with this practice, OMB OFCIO will be making agency cost savings and avoidances data available to the public via http://www.whitehouse.gov/omb/e-gov. This dataset links to USDAs Realized Cost Savings and Avoidances data in JSON format.",Office of Chief Information Officer,Naomi Gumbs,mailto:Naomi.Gumbs@ocio.usda.gov,2015-11-30,http://www.usda.gov/digitalstrategy/costsavings.json,application/json,public
USDA Active Purchase Card Holders,"The list of Active Purchase Card Holders is the most up-to-date list of USDA card holders, along with their contact information (i.e. name, address and e-mail address).","Department of Agriculture, OCIO",Alexis Graves,mailto:alexis.graves@ocio.usda.gov,2014-03-01,http://www.dm.usda.gov/procurement/ccsc/docs/FOIARequestUSDAActivePurchaseCardholdersExceptOIGasof030714.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,public
USDA Annual FOIA Report,"In accordance with its FOIA regulations, USDA makes records available to the public unless the information is protected from disclosure by one or more of the nine specific FOIA exemptions.  This is USDA's required FOIA annual report for the Department of Justice.",Department of Agriculture,Alexi Graves,mailto:Alexis.Graves@ocio.usda.gov,2014-03-14,http://www.dm.usda.gov/foia/docs/USDA.FY13.Final.xml,application/xml,public
USDA Bureau IT Leadership Directory,"This is a list of all USDA employees with role of CIO.  This requirement comes from FITARA legislation and more details can be found at http://management.cio.gov 

""CIO and CHCO will conduct a survey of all bureau CIOs and CIO and CHCO will jointly publish a dataset identifying all bureau officials with title of CIO or duties of a CIO. This shall be posted as a public dataset based on instructions in the IDC by August 15, 2015 and kept up-to-date thereafter. 

The report will identify for each: – Employment type (e.g. GS, SES, SL, ST, etc.) – Type of appointment (e.g. career, appointed, etc.) – Other responsibilities (e.g. full-time CIO or combination CIO/CFO) – Evaluation “rating official” (e.g. bureau head, other official) – Evaluation “reviewing official” (if used) – Whether [agency] CIO identifies this bureau CIO as a “key bureau CIO” and thus requires the [agency] CIO to provide the rating official input into the agency-wide critical element(s)""",Office of Chief Information Officer,Brian Brotsos,mailto:brian.brotsos@usda.gov,2015-08-15,http://www.usda.gov/digitalstrategy/bureaudirectory.json,application/json,public
USDA Governance Boards,USDA CIO Governance Board Membership List include all governance boards the CIO is a member of. Agencies shall keep this list up to date at least annually beginning in April 2016. This file is distributed for FITARA guidance https://management.cio.gov/ and more information on this format can be found at https://management.cio.gov/schema/,Office of Chief Information Officer,Brian Brotsos,mailto:brian.brotsos@usda.gov,2015-08-27,http://www.usda.gov/digitalstrategy/governanceboards.json,application/json,public
USDA Help Desk Support Data Asset,"The information that is collected, used, disseminated, or maintained in the International Technology Services Admin Services system is used for user identification, authorization, and authentication purposes and can include the user’s name, organizational unit information, office telephone number, electronic mail address, and physical office address to adequately identify the individual for Help Desk support purposes.",Department of Agriculture,Nancy Herbert,mailto:nancy.herbert@kcc.usda.gov,2015-04-16,http://www.usda.gov/documents/ocio-its-admin-services-as-pia.pdf,,non-public
USDA IT Policy Archive,"Per the requirements of the Federal Information Technology Acquisition Reform Act (FITARA) and the Office of Management and Budget's (OMB) implementation guidance, USDA is providing alternative access to the titles and links for the Department's IT policies at this new Web page.  A compressed archive file (zip file type) with USDA’s IT policies is also being made available at this Web page.  The compressed archive file provides links to the authoritative copies of the cited Departmental directives, their descriptions, and document copies in htm and pdf file formats.",Office of Chief Information Officer,Norbert H. Snobeck,mailto:OCIO-P&D@ocio.usda.gov,2015-08-27,http://www.usda.gov/digitalstrategy/policyarchive.zip,application/zip,public
USDA Purchase Card Transaction Report,"The USDA Purchase Card Transaction Report list all transactions for a specific period of time.  The Purchase Card Transaction Report lists specific purchase (transaction) data such as the following:  card holder’s name, visa merchant ID, address, work phone number, e-mail address, MCC code, transaction date, transaction amount, merchant name, merchant address, merchant phone number and the post date.","Department of Agriculture, OCIO",Alexis Graves,mailto:alexis.graves@ocio.usda.gov,2010-12-13,http://www.dm.usda.gov/R162105A.XLS,application/vnd.ms-excel,public
ARMS Farm Financial and Crop Production Practices,"The annual Agricultural Resource Management Survey (ARMS) is USDA's primary source of information on the financial condition, production practices, and resource use of America's farm businesses and the economic well-being of America's farm households. ARMS data are essential to USDA, congressional, administration, and industry decision makers when weighing alternative policies and programs that touch the farm sector or affect farm families.

The ERS content and data APIs (including our pre-made widgets for embedding charts) are currently out of service while we redesign our site. Check back here for updates--we'll keep you informed as to the progress. Contact us at webadmin@ers.usda.gov with questions.","Economic Research Service, Department of Agriculture",ARMS Team,mailto:armsteam@ers.usda.gov,2020-07-07,http://www.ers.usda.gov/data-products/arms-farm-financial-and-crop-production-practices/tailored-reports-farm-structure-and-finance.aspx,text/html,public
Adoption of Genetically Engineered Crops in the U.S.,"This data product summarizes the extent of adoption of herbicide-tolerant (HT), insect-resistant (Bt), and those with both traits (""stacked"") genetically engineered (GE) crops in the United States. Data cover GE varieties of corn, cotton, and soybeans over the 2000-2013 period, for the U.S.","Economic Research Service, Department of Agriculture",Laura Dodson,mailto:laura.dodson@ers.usda.gov,2020-07-17,http://www.ers.usda.gov/data-products/adoption-of-genetically-engineered-crops-in-the-us.aspx,application/vnd.ms-excel,public
Ag and Food Statistics: Charting the Essentials,"A collection of over 75 charts and maps presenting key statistics on the farm sector, food spending and prices, food security, rural communities, the interaction of agriculture and natural resources, and more.

How much do you know about food and agriculture? What about rural America or conservation? ERS has assembled more than 75 charts and maps covering key information about the farm and food sectors, including agricultural markets and trade, farm income, food prices and consumption, food security, rural economies, and the interaction of agriculture and natural resources.

How much, for example, do agriculture and related industries contribute to U.S. gross domestic product? Which commodities are the leading agricultural exports? How much of the food dollar goes to farmers? How do job earnings in rural areas compare with metro areas? How much of the Nation’s water is used by agriculture? These are among the statistics covered in this collection of charts and maps—with accompanying text—divided into the nine section titles.","Economic Research Service, Department of Agriculture",Kathleen Kassel,mailto:kathleen.kassel@usda.gov,2020-07-17,http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/ag-and-food-sectors-and-the-economy.aspx,image/png,public
Agricultural Baseline Database,"The agricultural baseline database provides longrun, 10-year projections from USDA's annual long-term projections report. The database covers projections for major field crops (corn, sorghum, barley, oats, wheat, rice, soybeans, and upland cotton), and livestock (beef, pork, poultry and eggs, and dairy).","Economic Research Service, Department of Agriculture",Erik Dohlman,mailto:erik.dohlman@usda.gov,2020-02-18,http://www.ers.usda.gov/data-products/agricultural-baseline-database/custom-queries.aspx,text/html,public
Agricultural Exchange Rate Data Set,"This data set contains annual and monthly data for exchange rates important to U.S. agriculture. It includes both nominal and real exchange rates for 79 countries, plus the European Union (EU), as well as real trade-weighted exchange rate indexes for many commodities and aggregations.","Economic Research Service, Department of Agriculture",Kayode Ajewole,mailto:Kayode.Ajewole@usda.gov,2020-05-28,http://www.ers.usda.gov/data-products/agricultural-exchange-rate-data-set.aspx,application/vnd.ms-excel,public
Agricultural Productivity in the U.S.,"Increased productivity is the main contributor to growth in U.S. agriculture. This data set provides estimates of productivity growth in the U.S. farm sector for the 1948-2011 period, and estimates of the growth and relative levels of productivity across the States for the period 1960-2004.","Economic Research Service, Department of Agriculture",Sun Ling Wang,mailto:sunling.wang@usda.gov,2020-01-10,http://www.ers.usda.gov/data-products/agricultural-productivity-in-the-us.aspx,application/vnd.ms-excel,public
Agricultural Research Funding in the Public and Private Sectors,"Note: Updates to this data product are discontinued.

Data for public and private funding of food and agricultural research and development cover the years 1970-2009 (public) and 1970-2007 (private). Data are available as nominal figures and adjusted for inflation.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-09-30,https://www.ers.usda.gov/data-products/agricultural-research-funding-in-the-public-and-private-sectors/,dcat:Distribution,public
Agricultural Trade Multipliers,"Agricultural trade multipliers provide estimates of employment and/or output effects of trade in farm and food products on the U.S. economy. These effects, when expressed as multipliers, reflect the amount of economic activity and/or jobs generated by agricultural exports.","Economic Research Service, Department of Agriculture",Steven Zahniser,mailto:steven.zahniser@usda.gov,2020-03-23,http://www.ers.usda.gov/dataFiles/ATMCalculator/2011MultipliersProducerPort.xls,application/vnd.ms-excel,public
Aquaculture Data,"Note: Updates to this data product are discontinued.
Aquaculture is the production of aquatic animals and plants under controlled conditions for all or part of their lifecycle. This data product provides statistics on domestically grown catfish and trout and U.S. imports and exports of fish and shellfish that may be products of aquaculture, such as salmon, shrimp, and oysters.","Economic Research Service, Department of Agriculture",Christopher G. Davis,mailto:christopher.davis2@usda.gov,2020-06-19,https://www.ers.usda.gov/data-products/aquaculture-data/aquaculture-data/#Zipped%20CSV%20files,text/html,public
Atlas of Rural and Small-Town America,"View the diversity of challenges and opportunities across America's counties within different types of rural regions and communities. Get statistics on people, jobs, and agriculture.","Economic Research Service, Department of Agriculture",John Cromartie,mailto:john.cromartie@usda.gov,2020-07-02,https://www.ers.usda.gov/data-products/atlas-of-rural-and-small-town-america/download-the-data/,application/vnd.ms-excel,public
Best of Charts of Note 2013,"Note: Updates to this data product are discontinued.
This chart gallery is a collection of the best Charts of Note. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/best-of-charts-of-note-2013/,dcat:Distribution,public
Best of Charts of Note 2014,"Note: Updates to this data product are discontinued.
This chart gallery is a collection of the best Charts of Note for 2014. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/best-of-charts-of-note-2014/,dcat:Distribution,public
Best of Charts of Note 2015,"Note: Updates to this data product are discontinued.
This chart gallery is a collection of the best Charts of Note for 2015. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/best-of-charts-of-note-2015/,dcat:Distribution,public
Best of Charts of Note 2016,"Note: Updates to this data product are discontinued.
This chart gallery is a collection of the best Charts of Note for 2016. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2016-12-23,https://www.ers.usda.gov/data-products/best-of-charts-of-note-2016/,dcat:Distribution,public
Best of Charts of Note 2017,"Editor's Pick 2017: Best of Charts of Note
This chart gallery is a collection of the best Charts of Note from 2017. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2017-12-18,https://www.ers.usda.gov/data-products/best-of-charts-of-note-2017/,text/html,public
Chart Gallery,A collection of charts from the ERS website.,"Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-11-20,http://www.ers.usda.gov/data-products/chart-gallery.aspx,image/png,public
Charts of Note,Charts of Note from ERS is distributed Monday-Friday by the Economic Research Service to highlight charts of interest from our current and past research.,"Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-12-23,http://www.ers.usda.gov/data-products/charts-of-note.aspx,image/png,public
China Agricultural and Economic Data,"Note: Updates to this data product are discontinued.
The China agricultural and economic database is a collection of agricultural-related data from official statistical publications of the People's Republic of China. Analysts and policy professionals around the world need information about the rapidly changing Chinese economy, but statistics are often published only in China and sometimes only in Chinese-language publications. This product assembles a wide variety of data items covering agricultural production, inputs, prices, food consumption, output of industrial products relevant to the agricultural sector, and macroeconomic data.","Economic Research Service, Department of Agriculture",Fred Gale,mailto:fred.gale@usda.gov,2019-08-20,https://data.ers.usda.gov/reports.aspx?ID=17884,dcat:Distribution,public
Commodity Consumption by Population Characteristics,"Note: Updates to this data product are discontinued.
ERS examines consumer food preferences by age, income, region, race, whether people eat at home or away, and other characteristics.","Economic Research Service, Department of Agriculture",Biing-Hwan Lin,mailto:blin@ers.usda.gov,2019-08-20,http://www.ers.usda.gov/data-products/commodity-consumption-by-population-characteristics.aspx,application/vnd.ms-excel,public
Commodity Costs and Returns,"Cost and return estimates are reported for the United States and major production regions for corn, soybeans, wheat, cotton, grain sorghum, rice, peanuts, oats, barley, milk, hogs, and cow-calf. The history of commodity cost and return estimates for the U.S. and regions is divided into three categories: current, recent, and historical estimates. Cost of Production Forecasts are also available for major U.S. field crops.","Economic Research Service, Department of Agriculture",Jeffrey Gillespie,mailto:Jeffrey.Gillespie@usda.gov,2020-06-22,http://www.ers.usda.gov/data-products/commodity-costs-and-returns.aspx,application/vnd.ms-excel,public
Commodity and Food Elasticities,"Note: Updates to this data product are discontinued.
The Commodity and Food Elasticities Database is a collection of elasticities from research on consumer demand published in working papers, dissertations, and peer-reviewed journals and as presented at professional conferences in the United States.","Economic Research Service, Department of Agriculture",James Hansen,mailto:james.hansen2@usda.gov,2019-08-20,https://data.ers.usda.gov/reports.aspx?ID=17825,dcat:Distribution,public
